,strcture TS2,deltaG ,distance Fe-Cl
polycycles ,anth_fe_7_ring3_cp,25.86,7.91
polycycles ,anth_fe_7-ring2_cp,23.64,5.57
polycycles ,anth_fe_7_ring1_cp,18.52,3.47
polycycles ,anth_fe_8_ring3_cp,26.42,6.11
polycycles ,anth_fe_8_ring2_cp,22.78,4.3
polycycles ,anth_fe_8_ring1_cp,18.42,3.46
polycycles ,tet_fe_9_ring4_cp,28.81,10.31
polycycles ,tet_fe_9_ring3_cp,27.44,7.91
polycycles ,tet_fe_9_ring2_cp,24.25,4.29
polycycles ,tet_fe_9_ring1_cp,19.41,3.48
polycycles ,tet_fe_10_ring4_cp,27.34,8.25
polycycles ,tet_fe_10_ring3_cp,26.53,6.11
polycycles ,tet_fe_10_ring2_cp,23.69,3.31
polycycles ,tet_fe_10_ring1_cp,18.59,3.46
biphenyl ,bip_fe_2_ring1_cp,14.52,3.51
biphenyl ,bip_fe_2_ring2_cp,28.8,5.06
biphenyl ,bip_fe_3_ring1_cp,13.54,3.48
biphenyl ,bip_fe_3_ring2_cp,29.61,7.02
biphenyl ,bip_fe_4_ring1_cp,13.39,3.48
biphenyl ,bip_fe_4_ring2_cp,27.38,7.55
Fe stuctures,nap_fe_1_ring1_cp,18.264,3.4527
Fe stuctures,nap_fe_1_ring1_cpco2h,15.766,3.3839
Fe stuctures,nap_fe_1_ring1_cpcl,16.714,3.38
Fe stuctures,nap_fe_1_ring1_cpme,18.481,3.4507
Fe stuctures,nap_fe_2_ring1_cp,19.03082,3.48
Fe stuctures,nap_fe_2_ring1_cpco2h,16.864062,3.49
Fe stuctures,nap_fe_2_ring1_cpcl,18.407085,3.38
Fe stuctures,nap_fe_2_ring1_cpme,18.655575,3.48
Fe stuctures,nap_fe_5_ring1_cp,23.0167,4.3
Fe stuctures,nap_fe_5_ring2_cpco2h,22.68789,4.3
Fe stuctures,nap_fe_5_ring2_cpcl,22.309508,3.38
Fe stuctures,nap_fe_5_ring2_cpme,23.91277,4.31
Fe stuctures,nap_fe_6_ring2_cp,23.823038,5.58
Fe stuctures,nap_fe_6_ring2_cpco2h,,5.58
Fe stuctures,nap_fe_6_ring2_cpcl,23.59651,3.38
Fe stuctures,nap_fe_6_ring2_cpme,,5.58
Fe stuctures,bip_fe_2_ring1_cp,18.687,3.51
Fe stuctures,bip_fe_2_ring1_cpco2h,16.013,3.51
Fe stuctures,bip_fe_2_ring1_cpcl,17.045,3.51
Fe stuctures,bip_fe_2_ring1_cpme,19.223,3.51
Fe stuctures,bip_fe_2__ring2_cp,32.96,5.06
Fe stuctures,bip_fe_2_ring2_cpco2h,,5.07
Fe stuctures,bip_fe_2_ring2_cpcl,,5.07
Fe stuctures,bip_fe_2_ring2_cpme,,5.06
Fe stuctures,bip_fe_3_ring1_cp,,3.48
